,date,x1,x2,y1,y2,emission
0,2020-08-01,-127.5,-125.0,45.0,42.5,0.0
1,2020-08-02,-127.5,-125.0,45.0,42.5,0.0
2,2020-08-03,-127.5,-125.0,45.0,42.5,0.0
3,2020-08-04,-127.5,-125.0,45.0,42.5,0.0
4,2020-08-05,-127.5,-125.0,45.0,42.5,0.0
5,2020-08-06,-127.5,-125.0,45.0,42.5,0.0
6,2020-08-07,-127.5,-125.0,45.0,42.5,0.0
7,2020-08-08,-127.5,-125.0,45.0,42.5,0.0
8,2020-08-09,-127.5,-125.0,45.0,42.5,0.0
9,2020-08-10,-127.5,-125.0,45.0,42.5,0.0
10,2020-08-11,-127.5,-125.0,45.0,42.5,0.0
11,2020-08-12,-127.5,-125.0,45.0,42.5,0.0
12,2020-08-13,-127.5,-125.0,45.0,42.5,0.0
13,2020-08-14,-127.5,-125.0,45.0,42.5,0.0
14,2020-08-15,-127.5,-125.0,45.0,42.5,0.0
15,2020-08-16,-127.5,-125.0,45.0,42.5,0.0
16,2020-08-17,-127.5,-125.0,45.0,42.5,0.0
17,2020-08-18,-127.5,-125.0,45.0,42.5,0.0
18,2020-08-19,-127.5,-125.0,45.0,42.5,0.0
19,2020-08-20,-127.5,-125.0,45.0,42.5,0.0
20,2020-08-21,-127.5,-125.0,45.0,42.5,0.0
21,2020-08-22,-127.5,-125.0,45.0,42.5,0.0
22,2020-08-23,-127.5,-125.0,45.0,42.5,0.0
23,2020-08-24,-127.5,-125.0,45.0,42.5,0.0
24,2020-08-25,-127.5,-125.0,45.0,42.5,0.0
25,2020-08-26,-127.5,-125.0,45.0,42.5,0.0
26,2020-08-27,-127.5,-125.0,45.0,42.5,0.0
27,2020-08-28,-127.5,-125.0,45.0,42.5,0.0
28,2020-08-29,-127.5,-125.0,45.0,42.5,0.0
29,2020-08-30,-127.5,-125.0,45.0,42.5,0.0
30,2020-08-31,-127.5,-125.0,45.0,42.5,0.0
