,date,x1,x2,y1,y2,emission
0,2020-08-01,-120.0,-117.5,37.5,35.0,0.0
1,2020-08-02,-120.0,-117.5,37.5,35.0,0.0
2,2020-08-03,-120.0,-117.5,37.5,35.0,0.0
3,2020-08-04,-120.0,-117.5,37.5,35.0,165.63873578132717
4,2020-08-05,-120.0,-117.5,37.5,35.0,50.90395241005764
5,2020-08-06,-120.0,-117.5,37.5,35.0,12.621692431200024
6,2020-08-07,-120.0,-117.5,37.5,35.0,0.0
7,2020-08-08,-120.0,-117.5,37.5,35.0,0.0
8,2020-08-09,-120.0,-117.5,37.5,35.0,0.30520830794807097
9,2020-08-10,-120.0,-117.5,37.5,35.0,0.0
10,2020-08-11,-120.0,-117.5,37.5,35.0,0.0
11,2020-08-12,-120.0,-117.5,37.5,35.0,0.0
12,2020-08-13,-120.0,-117.5,37.5,35.0,0.0
13,2020-08-14,-120.0,-117.5,37.5,35.0,0.0
14,2020-08-15,-120.0,-117.5,37.5,35.0,0.0
15,2020-08-16,-120.0,-117.5,37.5,35.0,0.0
16,2020-08-17,-120.0,-117.5,37.5,35.0,0.16368249310750382
17,2020-08-18,-120.0,-117.5,37.5,35.0,0.0
18,2020-08-19,-120.0,-117.5,37.5,35.0,0.0
19,2020-08-20,-120.0,-117.5,37.5,35.0,30.91678567786812
20,2020-08-21,-120.0,-117.5,37.5,35.0,31.741872341565525
21,2020-08-22,-120.0,-117.5,37.5,35.0,9.163004632842883
22,2020-08-23,-120.0,-117.5,37.5,35.0,6.550984279412933
23,2020-08-24,-120.0,-117.5,37.5,35.0,9.736022840025385
24,2020-08-25,-120.0,-117.5,37.5,35.0,7.377215375780002
25,2020-08-26,-120.0,-117.5,37.5,35.0,5.921968221367829
26,2020-08-27,-120.0,-117.5,37.5,35.0,8.075856575486224
27,2020-08-28,-120.0,-117.5,37.5,35.0,4.845839789793089
28,2020-08-29,-120.0,-117.5,37.5,35.0,9.803837147872159
29,2020-08-30,-120.0,-117.5,37.5,35.0,7.329243141132617
30,2020-08-31,-120.0,-117.5,37.5,35.0,8.996222498260558
