,date,x1,x2,y1,y2,emission
0,2020-07-13,-122.5,-120.0,45.0,42.5,0.0
1,2020-07-14,-122.5,-120.0,45.0,42.5,0.0
2,2020-07-15,-122.5,-120.0,45.0,42.5,0.0
3,2020-07-16,-122.5,-120.0,45.0,42.5,0.0
4,2020-07-17,-122.5,-120.0,45.0,42.5,0.0
5,2020-07-18,-122.5,-120.0,45.0,42.5,0.0
6,2020-07-19,-122.5,-120.0,45.0,42.5,3.1628196239471436
7,2020-07-20,-122.5,-120.0,45.0,42.5,0.0
8,2020-07-21,-122.5,-120.0,45.0,42.5,1.2509620189666748
9,2020-07-22,-122.5,-120.0,45.0,42.5,0.0
10,2020-07-23,-122.5,-120.0,45.0,42.5,0.0
11,2020-07-24,-122.5,-120.0,45.0,42.5,0.0
12,2020-07-25,-122.5,-120.0,45.0,42.5,0.0
13,2020-07-26,-122.5,-120.0,45.0,42.5,0.0
14,2020-07-27,-122.5,-120.0,45.0,42.5,0.0
15,2020-07-28,-122.5,-120.0,45.0,42.5,0.0
16,2020-07-29,-122.5,-120.0,45.0,42.5,0.0
17,2020-07-30,-122.5,-120.0,45.0,42.5,0.019225027412176132
18,2020-07-31,-122.5,-120.0,45.0,42.5,0.019225027412176132
19,2020-08-01,-122.5,-120.0,45.0,42.5,0.0
20,2020-08-02,-122.5,-120.0,45.0,42.5,0.0
21,2020-08-03,-122.5,-120.0,45.0,42.5,0.0
22,2020-08-04,-122.5,-120.0,45.0,42.5,0.0
23,2020-08-05,-122.5,-120.0,45.0,42.5,0.0
24,2020-08-06,-122.5,-120.0,45.0,42.5,0.0
25,2020-08-07,-122.5,-120.0,45.0,42.5,0.0
26,2020-08-08,-122.5,-120.0,45.0,42.5,0.0
27,2020-08-09,-122.5,-120.0,45.0,42.5,0.0
28,2020-08-10,-122.5,-120.0,45.0,42.5,0.03863469626410887
29,2020-08-11,-122.5,-120.0,45.0,42.5,0.2081750270317404
30,2020-08-12,-122.5,-120.0,45.0,42.5,0.36560845375061035
31,2020-08-13,-122.5,-120.0,45.0,42.5,0.0
32,2020-08-14,-122.5,-120.0,45.0,42.5,0.03863469626410887
33,2020-08-15,-122.5,-120.0,45.0,42.5,0.0
34,2020-08-16,-122.5,-120.0,45.0,42.5,0.0
35,2020-08-17,-122.5,-120.0,45.0,42.5,3.8775054307309222
36,2020-08-18,-122.5,-120.0,45.0,42.5,5.192950908833609
37,2020-08-19,-122.5,-120.0,45.0,42.5,22.433851405947188
38,2020-08-20,-122.5,-120.0,45.0,42.5,38.95067406361939
39,2020-08-21,-122.5,-120.0,45.0,42.5,28.293543546716272
40,2020-08-22,-122.5,-120.0,45.0,42.5,19.786119713370347
41,2020-08-23,-122.5,-120.0,45.0,42.5,15.153195514489973
42,2020-08-24,-122.5,-120.0,45.0,42.5,2.047703390672071
43,2020-08-25,-122.5,-120.0,45.0,42.5,7.458877652244553
44,2020-08-26,-122.5,-120.0,45.0,42.5,19.451751147627533
45,2020-08-27,-122.5,-120.0,45.0,42.5,18.23281269403219
46,2020-08-28,-122.5,-120.0,45.0,42.5,8.287641704784846
47,2020-08-29,-122.5,-120.0,45.0,42.5,14.917755304489106
48,2020-08-30,-122.5,-120.0,45.0,42.5,20.719105441344027
49,2020-08-31,-122.5,-120.0,45.0,42.5,4.972584904932717
50,2020-09-01,-122.5,-120.0,45.0,42.5,22.16588645844695
51,2020-09-02,-122.5,-120.0,45.0,42.5,50.2011045753236
52,2020-09-03,-122.5,-120.0,45.0,42.5,139.83004145121754
53,2020-09-04,-122.5,-120.0,45.0,42.5,51.69365626399474
54,2020-09-05,-122.5,-120.0,45.0,42.5,109.26508853577843
55,2020-09-06,-122.5,-120.0,45.0,42.5,84.21204646125443
56,2020-09-07,-122.5,-120.0,45.0,42.5,159.4903311743908
57,2020-09-08,-122.5,-120.0,45.0,42.5,2778.4242191817248
58,2020-09-09,-122.5,-120.0,45.0,42.5,1625.609768077308
59,2020-09-10,-122.5,-120.0,45.0,42.5,1801.456290432248
60,2020-09-11,-122.5,-120.0,45.0,42.5,690.8830233404373
61,2020-09-12,-122.5,-120.0,45.0,42.5,633.1874643928335
62,2020-09-13,-122.5,-120.0,45.0,42.5,638.8298158609864
63,2020-09-14,-122.5,-120.0,45.0,42.5,562.0541128081916
64,2020-09-15,-122.5,-120.0,45.0,42.5,283.54661579228286
65,2020-09-16,-122.5,-120.0,45.0,42.5,362.68158352605246
66,2020-09-17,-122.5,-120.0,45.0,42.5,230.64705805074425
67,2020-09-18,-122.5,-120.0,45.0,42.5,59.5298047569885
68,2020-09-19,-122.5,-120.0,45.0,42.5,23.27097928021294
69,2020-09-20,-122.5,-120.0,45.0,42.5,12.901889767523244
70,2020-09-21,-122.5,-120.0,45.0,42.5,32.44757444044822
71,2020-09-22,-122.5,-120.0,45.0,42.5,0.0
72,2020-09-23,-122.5,-120.0,45.0,42.5,2.861863420554556
73,2020-09-24,-122.5,-120.0,45.0,42.5,0.0
74,2020-09-25,-122.5,-120.0,45.0,42.5,0.0
75,2020-09-26,-122.5,-120.0,45.0,42.5,0.0
76,2020-09-27,-122.5,-120.0,45.0,42.5,0.0
77,2020-09-28,-122.5,-120.0,45.0,42.5,1.4074272155412473
78,2020-09-29,-122.5,-120.0,45.0,42.5,0.0
79,2020-09-30,-122.5,-120.0,45.0,42.5,29.220511934077877
80,2020-10-01,-122.5,-120.0,45.0,42.5,1.0345932337608028
81,2020-10-02,-122.5,-120.0,45.0,42.5,3.2064286007041947
82,2020-10-03,-122.5,-120.0,45.0,42.5,4.138372935043211
83,2020-10-04,-122.5,-120.0,45.0,42.5,5.023896532950605
84,2020-10-05,-122.5,-120.0,45.0,42.5,10.635176703458331
85,2020-10-06,-122.5,-120.0,45.0,42.5,5.313140597794785
86,2020-10-07,-122.5,-120.0,45.0,42.5,8.267850993106977
87,2020-10-08,-122.5,-120.0,45.0,42.5,4.7257569313605945
88,2020-10-09,-122.5,-120.0,45.0,42.5,7.441485997178038
89,2020-10-10,-122.5,-120.0,45.0,42.5,0.0
90,2020-10-11,-122.5,-120.0,45.0,42.5,0.0
91,2020-10-12,-122.5,-120.0,45.0,42.5,0.0
92,2020-10-13,-122.5,-120.0,45.0,42.5,0.0
93,2020-10-14,-122.5,-120.0,45.0,42.5,0.0
94,2020-10-15,-122.5,-120.0,45.0,42.5,0.0
95,2020-10-16,-122.5,-120.0,45.0,42.5,1.38653102517128
96,2020-10-17,-122.5,-120.0,45.0,42.5,0.6162360295524998
97,2020-10-18,-122.5,-120.0,45.0,42.5,0.01875903457403183
98,2020-10-19,-122.5,-120.0,45.0,42.5,0.9243540167808533
99,2020-10-20,-122.5,-120.0,45.0,42.5,0.3081180147762499
100,2020-10-21,-122.5,-120.0,45.0,42.5,0.0
101,2020-10-22,-122.5,-120.0,45.0,42.5,0.0
