,date,x1,x2,y1,y2,emission
0,2020-09-16,-112.5,-110.0,45.0,42.5,1.8017218336344651
1,2020-09-17,-112.5,-110.0,45.0,42.5,0.07894799845262357
2,2020-09-18,-112.5,-110.0,45.0,42.5,0.15789599690524714
3,2020-09-19,-112.5,-110.0,45.0,42.5,0.0
4,2020-09-20,-112.5,-110.0,45.0,42.5,0.0
5,2020-09-21,-112.5,-110.0,45.0,42.5,2.4154446125030518
6,2020-09-22,-112.5,-110.0,45.0,42.5,0.0
7,2020-09-23,-112.5,-110.0,45.0,42.5,0.0
8,2020-09-24,-112.5,-110.0,45.0,42.5,0.0
9,2020-09-25,-112.5,-110.0,45.0,42.5,0.0
10,2020-09-26,-112.5,-110.0,45.0,42.5,0.0
11,2020-09-27,-112.5,-110.0,45.0,42.5,0.0
12,2020-09-28,-112.5,-110.0,45.0,42.5,0.17751987433415906
13,2020-09-29,-112.5,-110.0,45.0,42.5,0.36662647227326417
14,2020-09-30,-112.5,-110.0,45.0,42.5,0.18331323613663209
15,2020-10-01,-112.5,-110.0,45.0,42.5,0.9720354652851881
16,2020-10-02,-112.5,-110.0,45.0,42.5,0.9215002334564986
17,2020-10-03,-112.5,-110.0,45.0,42.5,2.764500617980957
18,2020-10-04,-112.5,-110.0,45.0,42.5,4.481170981944301
19,2020-10-05,-112.5,-110.0,45.0,42.5,0.9215002334564986
20,2020-10-06,-112.5,-110.0,45.0,42.5,1.547744515921238
21,2020-10-07,-112.5,-110.0,45.0,42.5,0.9215002334564986
22,2020-10-08,-112.5,-110.0,45.0,42.5,0.9215002334564986
23,2020-10-09,-112.5,-110.0,45.0,42.5,7.570552318322825
24,2020-10-10,-112.5,-110.0,45.0,42.5,0.06446898728609085
25,2020-10-11,-112.5,-110.0,45.0,42.5,0.0
26,2020-10-12,-112.5,-110.0,45.0,42.5,0.0
27,2020-10-13,-112.5,-110.0,45.0,42.5,0.0
28,2020-10-14,-112.5,-110.0,45.0,42.5,0.0
29,2020-10-15,-112.5,-110.0,45.0,42.5,0.20688530057668686
30,2020-10-16,-112.5,-110.0,45.0,42.5,1.3847586024657517
31,2020-10-17,-112.5,-110.0,45.0,42.5,0.0
32,2020-10-18,-112.5,-110.0,45.0,42.5,0.0
33,2020-10-19,-112.5,-110.0,45.0,42.5,0.0
34,2020-10-20,-112.5,-110.0,45.0,42.5,0.0
35,2020-10-21,-112.5,-110.0,45.0,42.5,0.0
