,date,x1,x2,y1,y2,emission
0,2020-08-26,-117.5,-115.0,50.0,47.5,0.0
1,2020-08-27,-117.5,-115.0,50.0,47.5,0.0
2,2020-08-28,-117.5,-115.0,50.0,47.5,0.0
3,2020-08-29,-117.5,-115.0,50.0,47.5,0.24201814332387528
4,2020-08-30,-117.5,-115.0,50.0,47.5,3.4011251131572493
5,2020-08-31,-117.5,-115.0,50.0,47.5,0.0
6,2020-09-01,-117.5,-115.0,50.0,47.5,0.0
7,2020-09-02,-117.5,-115.0,50.0,47.5,0.3253071000959693
8,2020-09-03,-117.5,-115.0,50.0,47.5,0.0
9,2020-09-04,-117.5,-115.0,50.0,47.5,1.8851351728823005
10,2020-09-05,-117.5,-115.0,50.0,47.5,3.113743167398013
11,2020-09-06,-117.5,-115.0,50.0,47.5,1.917010624007446
12,2020-09-07,-117.5,-115.0,50.0,47.5,4.187533995048369
13,2020-09-08,-117.5,-115.0,50.0,47.5,3.740213903109991
14,2020-09-09,-117.5,-115.0,50.0,47.5,6.796494014716863
15,2020-09-10,-117.5,-115.0,50.0,47.5,4.381551926111122
16,2020-09-11,-117.5,-115.0,50.0,47.5,7.214365512773352
17,2020-09-12,-117.5,-115.0,50.0,47.5,10.5826472766445
18,2020-09-13,-117.5,-115.0,50.0,47.5,0.5220326012329437
19,2020-09-14,-117.5,-115.0,50.0,47.5,0.0
20,2020-09-15,-117.5,-115.0,50.0,47.5,1.7334306478529165
21,2020-09-16,-117.5,-115.0,50.0,47.5,3.0675399835727077
22,2020-09-17,-117.5,-115.0,50.0,47.5,0.8045766076994454
23,2020-09-18,-117.5,-115.0,50.0,47.5,1.206864955009749
24,2020-09-19,-117.5,-115.0,50.0,47.5,0.0
25,2020-09-20,-117.5,-115.0,50.0,47.5,0.0
26,2020-09-21,-117.5,-115.0,50.0,47.5,0.0
